session_date,timeframe_min,ib_minutes,side,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,pnl,r_multiple,combo
2025-12-15,1,15,short,2025-12-15 09:46:00,25522.0,25668.0,25230.0,2025-12-15 16:00:00,25334.75,session_close,187.25,1.2825342465753424,tf1_ib15
2025-12-16,1,15,long,2025-12-16 09:51:00,25372.5,25209.75,25698.0,2025-12-16 10:26:00,25209.75,stop,-162.75,-1.0,tf1_ib15
2025-12-17,1,15,short,2025-12-17 09:47:00,25257.5,25447.75,24877.0,2025-12-17 16:00:00,24891.5,session_close,366.0,1.923784494086728,tf1_ib15
2025-12-18,1,15,long,2025-12-18 10:29:00,25335.25,25172.75,25660.25,2025-12-18 16:00:00,25251.5,session_close,-83.75,-0.5153846153846153,tf1_ib15
2025-12-22,1,15,short,2025-12-22 10:36:00,25660.25,25794.75,25391.25,2025-12-22 16:00:00,25688.25,session_close,-28.0,-0.20817843866171004,tf1_ib15
2025-12-30,1,15,short,2025-12-30 09:46:00,25680.75,25733.5,25575.25,2025-12-30 09:50:00,25733.5,stop,-52.75,-1.0,tf1_ib15
2025-12-30,1,15,long,2025-12-30 09:51:00,25743.0,25681.75,25865.5,2025-12-30 10:44:00,25681.75,stop,-61.25,-1.0,tf1_ib15
2025-12-30,1,15,long,2025-12-30 10:54:00,25737.75,25681.75,25849.75,2025-12-30 15:59:00,25681.75,stop,-56.0,-1.0,tf1_ib15
2026-01-02,1,15,long,2026-01-02 09:48:00,25757.75,25638.25,25996.75,2026-01-02 10:13:00,25638.25,stop,-119.5,-1.0,tf1_ib15
2026-01-02,1,15,short,2026-01-02 10:14:00,25624.5,25733.5,25406.5,2026-01-02 10:58:00,25406.5,target,218.0,2.0,tf1_ib15
2026-01-05,1,15,long,2026-01-05 10:29:00,25676.0,25538.5,25951.0,2026-01-05 16:00:00,25586.75,session_close,-89.25,-0.649090909090909,tf1_ib15
2026-01-06,1,15,long,2026-01-06 09:46:00,25687.5,25608.0,25846.5,2026-01-06 16:00:00,25813.5,session_close,126.0,1.5849056603773586,tf1_ib15
2026-01-07,1,15,long,2026-01-07 09:47:00,25869.75,25771.0,26067.25,2026-01-07 16:00:00,25835.0,session_close,-34.75,-0.3518987341772152,tf1_ib15
2026-01-08,1,15,short,2026-01-08 10:00:00,25603.25,25803.0,25203.75,2026-01-08 16:00:00,25682.5,session_close,-79.25,-0.3967459324155194,tf1_ib15
2026-01-12,1,15,long,2026-01-12 09:51:00,25904.75,25743.5,26227.25,2026-01-12 16:00:00,25952.25,session_close,47.5,0.29457364341085274,tf1_ib15
2026-01-13,1,15,short,2026-01-13 10:03:00,25906.0,26042.75,25632.5,2026-01-13 16:00:00,25903.75,session_close,2.25,0.016453382084095063,tf1_ib15
2026-01-14,1,15,short,2026-01-14 09:46:00,25617.0,25790.25,25270.5,2026-01-14 16:00:00,25636.5,session_close,-19.5,-0.11255411255411256,tf1_ib15
2026-01-15,1,15,short,2026-01-15 10:08:00,25848.0,25946.25,25651.5,2026-01-15 16:00:00,25719.0,session_close,129.0,1.3129770992366412,tf1_ib15
2026-01-20,1,15,long,2026-01-20 09:52:00,25358.25,25233.75,25607.25,2026-01-20 13:34:00,25233.75,stop,-124.5,-1.0,tf1_ib15
2026-01-21,1,15,long,2026-01-21 09:48:00,25234.75,25127.5,25449.25,2026-01-21 10:37:00,25449.25,target,214.5,2.0,tf1_ib15
2026-01-22,1,15,short,2026-01-22 09:47:00,25611.0,25731.75,25369.5,2026-01-22 16:00:00,25662.0,session_close,-51.0,-0.422360248447205,tf1_ib15
2026-01-23,1,15,long,2026-01-23 10:00:00,25663.75,25562.5,25866.25,2026-01-23 16:00:00,25735.0,session_close,71.25,0.7037037037037037,tf1_ib15
2026-01-27,1,15,long,2026-01-27 09:54:00,26027.25,25917.25,26247.25,2026-01-27 16:00:00,26076.0,session_close,48.75,0.4431818181818182,tf1_ib15
2026-01-29,1,15,short,2026-01-29 09:47:00,25927.75,26175.0,25433.25,2026-01-29 16:00:00,25991.5,session_close,-63.75,-0.25783619817997977,tf1_ib15
2026-01-30,1,15,short,2026-01-30 10:30:00,25794.0,25940.0,25502.0,2026-01-30 16:00:00,25675.0,session_close,119.0,0.815068493150685,tf1_ib15
2026-02-03,1,15,short,2026-02-03 09:55:00,25720.25,25952.25,25256.25,2026-02-03 14:00:00,25256.25,target,464.0,2.0,tf1_ib15
2026-02-04,1,15,short,2026-02-04 09:59:00,25193.75,25390.0,24801.25,2026-02-04 12:41:00,24801.25,target,392.5,2.0,tf1_ib15
2026-02-05,1,15,short,2026-02-05 10:11:00,24643.75,24936.0,24059.25,2026-02-05 16:00:00,24638.5,session_close,5.25,0.017964071856287425,tf1_ib15
2026-02-06,1,15,long,2026-02-06 09:46:00,24931.5,24700.75,25393.0,2026-02-06 16:00:00,25146.75,session_close,215.25,0.9328277356446371,tf1_ib15
2026-02-09,1,15,long,2026-02-09 09:47:00,25177.75,24955.5,25622.25,2026-02-09 16:00:00,25337.75,session_close,160.0,0.7199100112485939,tf1_ib15
2026-02-10,1,15,short,2026-02-10 09:49:00,25262.25,25410.0,24966.75,2026-02-10 10:07:00,25410.0,stop,-147.75,-1.0,tf1_ib15
2026-02-10,1,15,long,2026-02-10 10:08:00,25436.25,25265.25,25778.25,2026-02-10 15:07:00,25265.25,stop,-171.0,-1.0,tf1_ib15
2026-02-10,1,15,short,2026-02-10 15:12:00,25258.25,25410.0,24954.75,2026-02-10 16:00:00,25219.75,session_close,38.5,0.25370675453047775,tf1_ib15
2026-02-11,1,15,short,2026-02-11 09:58:00,25328.5,25465.25,25055.0,2026-02-11 16:00:00,25278.5,session_close,50.0,0.3656307129798903,tf1_ib15
2026-02-12,1,15,short,2026-02-12 09:46:00,25273.75,25392.5,25036.25,2026-02-12 10:57:00,25036.25,target,237.5,2.0,tf1_ib15
2026-02-13,1,15,long,2026-02-13 09:46:00,24802.0,24578.75,25248.5,2026-02-13 16:00:00,24802.0,session_close,0.0,0.0,tf1_ib15
2026-02-17,1,15,short,2026-02-17 09:51:00,24584.75,24815.75,24122.75,2026-02-17 13:40:00,24815.75,stop,-231.0,-1.0,tf1_ib15
2026-02-17,1,15,long,2026-02-17 13:41:00,24849.25,24605.75,25336.25,2026-02-17 16:00:00,24776.5,session_close,-72.75,-0.29876796714579057,tf1_ib15
2026-02-19,1,15,long,2026-02-19 09:54:00,24886.25,24763.0,25132.75,2026-02-19 13:21:00,24763.0,stop,-123.25,-1.0,tf1_ib15
