session_date,timeframe_min,ib_minutes,side,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,pnl,r_multiple,combo
2025-12-10,1,15,short,2025-12-10 11:01:00,25806.25,25910.25,25327.85,2025-12-10 11:57:00,25910.25,stop,-104.0,-1.0,tf1_ib15
2025-12-12,1,15,short,2025-12-12 10:59:00,25486.75,25879.0,23682.4,2025-12-12 16:00:00,25466.0,session_close,20.75,0.05289993626513703,tf1_ib15
2025-12-15,1,15,short,2025-12-15 10:31:00,25335.0,25668.0,23803.2,2025-12-15 16:00:00,25334.75,session_close,0.25,0.0007507507507507507,tf1_ib15
2025-12-16,1,15,long,2025-12-16 09:52:00,25365.25,25209.75,26080.55,2025-12-16 10:26:00,25209.75,stop,-155.5,-1.0,tf1_ib15
2025-12-17,1,15,short,2025-12-17 09:47:00,25257.5,25447.75,24382.35,2025-12-17 16:00:00,24891.5,session_close,366.0,1.923784494086728,tf1_ib15
2025-12-18,1,15,long,2025-12-18 10:31:00,25330.25,25172.75,26054.75,2025-12-18 16:00:00,25251.5,session_close,-78.75,-0.5,tf1_ib15
2025-12-19,1,15,long,2025-12-19 10:01:00,25572.25,25357.0,26562.4,2025-12-19 16:00:00,25580.75,session_close,8.5,0.03948896631823461,tf1_ib15
2025-12-22,1,15,short,2025-12-22 10:37:00,25642.75,25794.75,24943.55,2025-12-22 16:00:00,25688.25,session_close,-45.5,-0.2993421052631579,tf1_ib15
2025-12-23,1,15,long,2025-12-23 11:29:00,25752.25,25638.0,26277.8,2025-12-23 16:00:00,25811.25,session_close,59.0,0.5164113785557987,tf1_ib15
2025-12-24,1,15,long,2025-12-24 11:12:00,25844.0,25784.0,26120.0,2025-12-24 13:15:00,25864.75,session_close,20.75,0.3458333333333333,tf1_ib15
2025-12-26,1,15,short,2025-12-26 10:04:00,25851.5,25931.5,25483.5,2025-12-26 16:00:00,25866.75,session_close,-15.25,-0.190625,tf1_ib15
2025-12-29,1,15,short,2025-12-29 12:29:00,25652.5,25819.0,24886.6,2025-12-29 16:00:00,25741.0,session_close,-88.5,-0.5315315315315315,tf1_ib15
2025-12-30,1,15,short,2025-12-30 09:46:00,25680.75,25733.5,25438.1,2025-12-30 09:50:00,25733.5,stop,-52.75,-1.0,tf1_ib15
2025-12-31,1,15,short,2025-12-31 14:33:00,25564.75,25692.0,24979.4,2025-12-31 16:00:00,25455.25,session_close,109.5,0.8605108055009824,tf1_ib15
2026-01-02,1,15,long,2026-01-02 09:48:00,25757.75,25638.25,26307.45,2026-01-02 10:13:00,25638.25,stop,-119.5,-1.0,tf1_ib15
