session_date,timeframe_min,ib_minutes,side,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,pnl,r_multiple,combo
2025-12-17,5,15,short,2025-12-17 09:55:00,25287.25,25447.75,24966.25,2025-12-17 13:45:00,24966.25,target,321.0,2.0,tf5_ib15
2025-12-18,5,15,long,2025-12-18 10:35:00,25364.25,25172.75,25747.25,2025-12-18 16:00:00,25251.5,session_close,-112.75,-0.5887728459530026,tf5_ib15
2025-12-22,5,15,short,2025-12-22 10:40:00,25648.75,25794.75,25356.75,2025-12-22 16:00:00,25688.25,session_close,-39.5,-0.2705479452054795,tf5_ib15
2025-12-26,5,15,short,2025-12-26 10:05:00,25860.25,25931.5,25717.75,2025-12-26 16:00:00,25866.75,session_close,-6.5,-0.0912280701754386,tf5_ib15
2025-12-29,5,15,short,2025-12-29 12:30:00,25658.25,25819.0,25336.75,2025-12-29 16:00:00,25741.0,session_close,-82.75,-0.5147744945567652,tf5_ib15
2025-12-30,5,15,long,2025-12-30 09:50:00,25736.5,25681.75,25846.0,2025-12-30 10:45:00,25681.75,stop,-54.75,-1.0,tf5_ib15
2026-01-02,5,15,long,2026-01-02 09:50:00,25754.75,25638.25,25987.75,2026-01-02 10:15:00,25638.25,stop,-116.5,-1.0,tf5_ib15
2026-01-05,5,15,long,2026-01-05 10:30:00,25673.0,25538.5,25942.0,2026-01-05 16:00:00,25586.75,session_close,-86.25,-0.6412639405204461,tf5_ib15
2026-01-06,5,15,long,2026-01-06 09:50:00,25710.5,25608.0,25915.5,2026-01-06 16:00:00,25813.5,session_close,103.0,1.0048780487804878,tf5_ib15
2026-01-07,5,15,long,2026-01-07 10:30:00,25866.75,25771.0,26058.25,2026-01-07 16:00:00,25835.0,session_close,-31.75,-0.33159268929503916,tf5_ib15
2026-01-08,5,15,short,2026-01-08 10:00:00,25603.25,25803.0,25203.75,2026-01-08 16:00:00,25682.5,session_close,-79.25,-0.3967459324155194,tf5_ib15
2026-01-13,5,15,short,2026-01-13 10:05:00,25929.5,26042.75,25703.0,2026-01-13 16:00:00,25903.75,session_close,25.75,0.22737306843267108,tf5_ib15
2026-01-20,5,15,long,2026-01-20 10:30:00,25361.25,25233.75,25616.25,2026-01-20 13:35:00,25233.75,stop,-127.5,-1.0,tf5_ib15
2026-01-22,5,15,short,2026-01-22 09:50:00,25575.0,25731.75,25261.5,2026-01-22 16:00:00,25662.0,session_close,-87.0,-0.5550239234449761,tf5_ib15
2026-01-23,5,15,long,2026-01-23 10:00:00,25663.75,25562.5,25866.25,2026-01-23 16:00:00,25735.0,session_close,71.25,0.7037037037037037,tf5_ib15
2026-01-26,5,15,long,2026-01-26 10:00:00,25837.25,25704.25,26103.25,2026-01-26 16:00:00,25845.0,session_close,7.75,0.05827067669172932,tf5_ib15
2026-01-29,5,15,short,2026-01-29 09:55:00,25941.0,26175.0,25473.0,2026-01-29 16:00:00,25991.5,session_close,-50.5,-0.21581196581196582,tf5_ib15
2026-01-30,5,15,short,2026-01-30 10:30:00,25794.0,25940.0,25502.0,2026-01-30 16:00:00,25675.0,session_close,119.0,0.815068493150685,tf5_ib15
2026-02-02,5,15,long,2026-02-02 09:50:00,25745.25,25539.75,26156.25,2026-02-02 16:00:00,25856.75,session_close,111.5,0.5425790754257908,tf5_ib15
2026-02-04,5,15,short,2026-02-04 10:00:00,25194.25,25390.0,24802.75,2026-02-04 12:45:00,24802.75,target,391.5,2.0,tf5_ib15
2026-02-09,5,15,long,2026-02-09 09:50:00,25172.25,24955.5,25605.75,2026-02-09 16:00:00,25337.75,session_close,165.5,0.7635524798154556,tf5_ib15
2026-02-13,5,15,long,2026-02-13 10:10:00,24803.0,24578.75,25251.5,2026-02-13 16:00:00,24802.0,session_close,-1.0,-0.004459308807134894,tf5_ib15
2026-02-17,5,15,short,2026-02-17 09:55:00,24531.5,24815.75,23963.0,2026-02-17 13:40:00,24815.75,stop,-284.25,-1.0,tf5_ib15
2026-02-18,5,15,long,2026-02-18 09:55:00,24886.5,24752.0,25155.5,2026-02-18 16:00:00,24957.5,session_close,71.0,0.5278810408921933,tf5_ib15
2026-02-19,5,15,long,2026-02-19 10:05:00,24924.75,24763.0,25248.25,2026-02-19 13:25:00,24763.0,stop,-161.75,-1.0,tf5_ib15
