session_date,timeframe_min,ib_minutes,side,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,pnl,r_multiple,combo
2025-12-10,3,15,short,2025-12-10 11:03:00,25787.5,25910.25,25664.75,2025-12-10 11:57:00,25910.25,stop,-122.75,-1.0,tf3_ib15
2025-12-12,3,15,short,2025-12-12 11:00:00,25496.0,25879.0,25113.0,2025-12-12 16:00:00,25466.0,session_close,30.0,0.0783289817232376,tf3_ib15
2025-12-15,3,15,short,2025-12-15 10:33:00,25347.5,25668.0,25027.0,2025-12-15 16:00:00,25334.75,session_close,12.75,0.039781591263650544,tf3_ib15
2025-12-16,3,15,short,2025-12-16 10:27:00,25186.75,25350.5,25023.0,2025-12-16 12:03:00,25350.5,stop,-163.75,-1.0,tf3_ib15
2025-12-17,3,15,short,2025-12-17 09:48:00,25274.25,25447.75,25100.75,2025-12-17 10:48:00,25100.75,target,173.5,1.0,tf3_ib15
2025-12-18,3,15,long,2025-12-18 10:33:00,25342.75,25172.75,25512.75,2025-12-18 16:00:00,25251.5,session_close,-91.25,-0.5367647058823529,tf3_ib15
2025-12-19,3,15,long,2025-12-19 09:51:00,25554.75,25357.0,25752.5,2025-12-19 16:00:00,25580.75,session_close,26.0,0.13147914032869784,tf3_ib15
2025-12-22,3,15,short,2025-12-22 10:39:00,25649.75,25794.75,25504.75,2025-12-22 16:00:00,25688.25,session_close,-38.5,-0.2655172413793103,tf3_ib15
2025-12-23,3,15,long,2025-12-23 11:30:00,25743.75,25638.0,25849.5,2025-12-23 16:00:00,25811.25,session_close,67.5,0.6382978723404256,tf3_ib15
2025-12-24,3,15,long,2025-12-24 11:12:00,25844.0,25784.0,25904.0,2025-12-24 13:15:00,25864.75,session_close,20.75,0.3458333333333333,tf3_ib15
2025-12-26,3,15,short,2025-12-26 10:06:00,25861.25,25931.5,25791.0,2025-12-26 16:00:00,25866.75,session_close,-5.5,-0.07829181494661921,tf3_ib15
