session_date,timeframe_min,ib_minutes,side,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,pnl,r_multiple,combo
2025-12-17,1,15,short,2025-12-17 09:47:00,25257.5,25447.75,24877.0,2025-12-17 16:00:00,24891.5,session_close,366.0,1.923784494086728,tf1_ib15
2025-12-30,1,15,short,2025-12-30 09:46:00,25680.75,25733.5,25575.25,2025-12-30 09:50:00,25733.5,stop,-52.75,-1.0,tf1_ib15
2026-01-02,1,15,long,2026-01-02 09:48:00,25757.75,25638.25,25996.75,2026-01-02 10:13:00,25638.25,stop,-119.5,-1.0,tf1_ib15
2026-01-05,1,15,long,2026-01-05 10:29:00,25676.0,25538.5,25951.0,2026-01-05 16:00:00,25586.75,session_close,-89.25,-0.649090909090909,tf1_ib15
2026-01-08,1,15,short,2026-01-08 10:00:00,25603.25,25803.0,25203.75,2026-01-08 16:00:00,25682.5,session_close,-79.25,-0.3967459324155194,tf1_ib15
2026-01-13,1,15,short,2026-01-13 10:03:00,25906.0,26042.75,25632.5,2026-01-13 16:00:00,25903.75,session_close,2.25,0.016453382084095063,tf1_ib15
2026-01-20,1,15,long,2026-01-20 09:52:00,25358.25,25233.75,25607.25,2026-01-20 13:34:00,25233.75,stop,-124.5,-1.0,tf1_ib15
2026-01-22,1,15,short,2026-01-22 09:47:00,25611.0,25731.75,25369.5,2026-01-22 16:00:00,25662.0,session_close,-51.0,-0.422360248447205,tf1_ib15
2026-01-23,1,15,long,2026-01-23 10:00:00,25663.75,25562.5,25866.25,2026-01-23 16:00:00,25735.0,session_close,71.25,0.7037037037037037,tf1_ib15
2026-01-30,1,15,short,2026-01-30 10:30:00,25794.0,25940.0,25502.0,2026-01-30 16:00:00,25675.0,session_close,119.0,0.815068493150685,tf1_ib15
2026-02-17,1,15,short,2026-02-17 09:51:00,24584.75,24815.75,24122.75,2026-02-17 13:40:00,24815.75,stop,-231.0,-1.0,tf1_ib15
