session_date,timeframe_min,ib_minutes,side,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,pnl,r_multiple,combo
2025-12-10,5,15,short,2025-12-10 11:05:00,25804.5,25867.875,25677.75,2025-12-10 11:20:00,25867.875,stop,-63.375,-1.0,tf5_ib15
2025-12-12,5,15,short,2025-12-12 11:00:00,25496.0,25833.375,24821.25,2025-12-12 16:00:00,25466.0,session_close,30.0,0.0889218228973694,tf5_ib15
2025-12-15,5,15,short,2025-12-15 10:35:00,25367.75,25604.625,24894.0,2025-12-15 16:00:00,25334.75,session_close,33.0,0.13931398416886542,tf5_ib15
2025-12-16,5,15,short,2025-12-16 13:00:00,25200.5,25280.125,25041.25,2025-12-16 13:40:00,25280.125,stop,-79.625,-1.0,tf5_ib15
2025-12-17,5,15,short,2025-12-17 09:55:00,25287.25,25372.25,25117.25,2025-12-17 10:50:00,25117.25,target,170.0,2.0,tf5_ib15
2025-12-18,5,15,long,2025-12-18 10:35:00,25364.25,25251.125,25590.5,2025-12-18 12:15:00,25251.125,stop,-113.125,-1.0,tf5_ib15
2025-12-19,5,15,long,2025-12-19 10:05:00,25567.75,25452.75,25797.75,2025-12-19 16:00:00,25580.75,session_close,13.0,0.11304347826086956,tf5_ib15
2025-12-22,5,15,short,2025-12-22 10:40:00,25648.75,25733.5,25479.25,2025-12-22 16:00:00,25688.25,session_close,-39.5,-0.46607669616519176,tf5_ib15
2025-12-23,5,15,long,2025-12-23 11:30:00,25743.75,25688.0,25855.25,2025-12-23 16:00:00,25811.25,session_close,67.5,1.210762331838565,tf5_ib15
2025-12-24,5,15,long,2025-12-24 11:15:00,25850.75,25805.75,25940.75,2025-12-24 13:15:00,25864.75,session_close,14.0,0.3111111111111111,tf5_ib15
2025-12-26,5,15,short,2025-12-26 10:05:00,25860.25,25898.0,25784.75,2025-12-26 10:40:00,25898.0,stop,-37.75,-1.0,tf5_ib15
2025-12-29,5,15,short,2025-12-29 12:30:00,25658.25,25741.625,25491.5,2025-12-29 14:50:00,25741.625,stop,-83.375,-1.0,tf5_ib15
2025-12-30,5,15,long,2025-12-30 09:50:00,25736.5,25707.625,25794.25,2025-12-30 10:15:00,25707.625,stop,-28.875,-1.0,tf5_ib15
2025-12-31,5,15,short,2025-12-31 14:35:00,25537.0,25650.625,25309.75,2025-12-31 16:00:00,25455.25,session_close,81.75,0.7194719471947195,tf5_ib15
2026-01-02,5,15,long,2026-01-02 09:50:00,25754.75,25685.875,25892.5,2026-01-02 10:15:00,25685.875,stop,-68.875,-1.0,tf5_ib15
2026-01-05,5,15,long,2026-01-05 10:30:00,25673.0,25605.5,25808.0,2026-01-05 13:10:00,25605.5,stop,-67.5,-1.0,tf5_ib15
2026-01-06,5,15,long,2026-01-06 09:50:00,25710.5,25642.875,25845.75,2026-01-06 11:10:00,25642.875,stop,-67.625,-1.0,tf5_ib15
2026-01-07,5,15,long,2026-01-07 10:30:00,25866.75,25817.625,25965.0,2026-01-07 10:40:00,25817.625,stop,-49.125,-1.0,tf5_ib15
2026-01-08,5,15,short,2026-01-08 10:00:00,25603.25,25708.625,25392.5,2026-01-08 10:30:00,25708.625,stop,-105.375,-1.0,tf5_ib15
2026-01-09,5,15,long,2026-01-09 10:30:00,25854.25,25719.375,26124.0,2026-01-09 16:00:00,25933.25,session_close,79.0,0.5857275254865616,tf5_ib15
2026-01-12,5,15,long,2026-01-12 11:15:00,25946.75,25818.125,26204.0,2026-01-12 16:00:00,25952.25,session_close,5.5,0.042759961127308066,tf5_ib15
2026-01-13,5,15,short,2026-01-13 10:05:00,25929.5,25986.75,25815.0,2026-01-13 10:30:00,25815.0,target,114.5,2.0,tf5_ib15
2026-01-14,5,15,short,2026-01-14 10:05:00,25557.75,25705.5,25262.25,2026-01-14 16:00:00,25636.5,session_close,-78.75,-0.5329949238578681,tf5_ib15
2026-01-15,5,15,short,2026-01-15 10:50:00,25823.25,25899.875,25670.0,2026-01-15 11:05:00,25899.875,stop,-76.625,-1.0,tf5_ib15
2026-01-16,5,15,short,2026-01-16 10:00:00,25728.5,25855.375,25474.75,2026-01-16 16:00:00,25684.5,session_close,44.0,0.34679802955665023,tf5_ib15
2026-01-19,5,15,long,2026-01-19 10:10:00,25324.5,25268.625,25436.25,2026-01-19 13:00:00,25398.25,session_close,73.75,1.319910514541387,tf5_ib15
2026-01-20,5,15,long,2026-01-20 10:30:00,25361.25,25295.5,25492.75,2026-01-20 12:40:00,25295.5,stop,-65.75,-1.0,tf5_ib15
