trades,wins,losses,win_rate,total_pnl,avg_pnl,total_r,avg_r,combo,timeframe_min,ib_minutes,stop_mode,tp_r_multiple,vectorbt_total_return
49,28,21,0.5714285714285714,1194.25,24.372448979591837,5.764998034259783,0.1176530211073425,tf1_ib15,1,15,or_boundary,2.0,17.141285050259356
47,27,20,0.574468085106383,775.75,16.50531914893617,4.057592349318469,0.08633175211315891,tf1_ib30,1,30,or_boundary,2.0,12.585671415480574
38,18,20,0.47368421052631576,-328.0,-8.631578947368421,-0.30690370390281774,-0.008076413260600468,tf1_ib60,1,60,or_boundary,2.0,2.566180825985939
49,27,22,0.5510204081632653,1165.25,23.78061224489796,5.576325660776256,0.11380256450563787,tf3_ib15,3,15,or_boundary,2.0,16.658976431173834
47,25,22,0.5319148936170213,572.25,12.175531914893616,3.1771961309476913,0.06759991767973811,tf3_ib30,3,30,or_boundary,2.0,10.684919706790389
37,17,20,0.4594594594594595,-210.5,-5.6891891891891895,-0.14637444119373327,-0.003956065978209008,tf3_ib60,3,60,or_boundary,2.0,3.1010890893527905
49,28,21,0.5714285714285714,1096.25,22.372448979591837,5.496306110793842,0.11216951246518045,tf5_ib15,5,15,or_boundary,2.0,16.197618449158252
45,25,20,0.5555555555555556,754.0,16.755555555555556,3.2121417913516757,0.0713809286967039,tf5_ib30,5,30,or_boundary,2.0,12.707973496964804
37,18,19,0.4864864864864865,-314.5,-8.5,-1.0707160228268424,-0.02893827088721196,tf5_ib60,5,60,or_boundary,2.0,2.2876448334589075
